"00041"|"00006"|"002"|"LYR"|"April Lyrids                            "|" annual "|" 1"|"32.4   "|"271.9  "|"33.6   "|"1.1    "|"0.0    "|"47.6   "|"28     "|"0.919  "|"       "|"214.3  "|"32.5   "|"79.0   "|"00005"|"00000"|"00"|"C/1861 G1 (Thatcher)                    "|"                                                                                                                                                      "|"    "|"3) <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"|"LT"|"SD"
"00042"|"00006"|"003"|"LYR"|"April Lyrids                            "|" annual "|" 1"|"32.4   "|"272.0  "|"33.3   "|"       "|"       "|"47.1   "|"       "|"0.919  "|"0.989  "|"214.2  "|"32.4   "|"79.8   "|"00006"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"P   "|"4) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>"|"LT"|"SD"
"00043"|"00006"|"004"|"LYR"|"April Lyrids                            "|"2002/06 "|" 1"|"32.5   "|"272.3  "|"32.6   "|"1.50   "|"-0.30  "|"47.3   "|"22.2   "|"0.913  "|"0.9589 "|"215.8  "|"32.3   "|"80.7   "|"00026"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"R   "|"5) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"|"LT"|"SD"
"00044"|"00006"|"005"|"LYR"|"April Lyrids                            "|"2007/08 "|" 1"|"32.5   "|"272.6  "|"33.2   "|"0.82   "|"-0.29  "|"46.7   "|"       "|"       "|"       "|"       "|"       "|"       "|"00073"|"00000"|"00"|"C/1861 G1 (Thatcher)                    "|"                                                                                                                                                      "|"T   "|"6) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A>"|"LT"|"SD"
"00045"|"00006"|"006"|"LYR"|"April Lyrids                            "|"2002/08 "|" 1"|"32     "|"272.2  "|"32.6   "|"0.62   "|"-0.33  "|"46.6   "|"10.85  "|"0.9149 "|"0.916  "|"215.71 "|"32.0   "|"80.0   "|"01197"|"00000"|"00"|"C/1861 G1 (Thatcher)                    "|"                                                                                                                                                      "|"R   "|"7) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"|"LT"|"SD"
"00046"|"00006"|"007"|"LYR"|"April Lyrids                            "|" annual "|" 1"|"32.0   "|"272.0  "|"33.4   "|"0.66   "|"0.02   "|"46.7   "|"10.80  "|"0.921  "|"0.956  "|"214.0  "|"32.3   "|"79.4   "|"00258"|"00000"|"00"|"C/1861 G1 (Thatcher)                    "|"                                                                                                                                                      "|"T   "|"8) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>"|"LT"|"SD"
"00047"|"00006"|"008"|"LYR"|"April Lyrids                            "|" annual "|"-2"|"31.7   "|"272.1  "|"33.6   "|"       "|"       "|"46.7   "|"25.6   "|"0.923  "|"0.964  "|"213.6  "|"31.7   "|"79.3   "|"01249"|"00000"|"00"|"                                        "|"                                                                                                                                                      "|"C   "|"Jenniskens et al., 2018 sub. to PSS"|"LT"|"SD"
"00048"|"00007"|"000"|"PER"|"Perseids                                "|" annual "|" 1"|"140.19 "|"46.8   "|"57.77  "|"1.38   "|"0.18   "|"59.49  "|"24.0   "|"0.949  "|"0.960  "|"150.4  "|"139.7  "|"113.0  "|"     "|"00000"|"00"|"109P/Swift-Tuttle                       "|"                                                                                                                                                      "|"P   "|"1) <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak and Porubcan, 1970</A>"|"LT"|"SD"
"00049"|"00007"|"001"|"PER"|"Perseids                                "|" annual "|" 1"|"140.19 "|"48.33  "|"57.96  "|"       "|"       "|"59.38  "|"71.4   "|"0.953  "|"       "|"151.3  "|"140.19 "|"113.22 "|"00087"|"00000"|"00"|"109P/Swift-Tuttle                       "|"                                                                                                                                                      "|"P   "|"2) Dutch Meteor Society 2001"|"LT"|"SD"
"00050"|"00007"|"002"|"PER"|"Perseids                                "|" annual "|" 1"|"139.4  "|"47.3   "|"58.2   "|"       "|"       "|"59.0   "|"       "|"0.948  "|"0.951  "|"150.3  "|"139.4  "|"112.7  "|"00033"|"00000"|"00"|"109P/Swift-Tuttle                       "|"                                                                                                                                                      "|"P   "|"3) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>"|"LT"|"SD"
